address,categories,city,country,name,reviews.rating,reviews.text
2597 Holiday Rd,Hotels,Coralville,US,Americinn Coralville,4,"We enjoyed the homey feel of the hotel, the hospitality of the staff, and comfortable bed. Breakfast was good especially our favorite waffles but it had a bitter taste towards the last bite."
1700 Skibo Rd,Hotels,Fayetteville,US,Hampton Inn Fayetteville Fort Bragg,4,this was only a stop over from florida and we got there late so can't really give a review except it was clean and met our needs.
457 Mountain Village Blvd,Hotels,Telluride,US,Mountain Lodge At Telluride - A Noble House Resort,5,"The location, helpful staff, cleanliness and beautiful grounds at the lodge were excellent! Its too bad the pool and hot tub are located so close to the loud valet parking and restraurant."
18980 Upper Belmont Pl,"Conference & Convention Centers,Wholesale Copiers,Conventions,Hotels & Motels,Lodging,Meeting Room,Resorts,Convention Center,Resort",Leesburg,US,The National Conference Center,3,"List to pack prior to going: 1 pillows - horrible pillows in the room, better off using a sock if you did not bring a good pillow with you. 2 antihistamines/allergy medication - for the mold and mildew in the rooms. 3 books - due to no cell phone reception in the rooms and wifi is intermittent. Tv is like... More"
301 Reserve Ave,"Luxury Hotels,Restaurants,Hotels & Motels,Lodging,Grill Restaurants,Meeting Facilities",Roanoke,US,Cambria Hotel & Suites,5,"the room we had was beautiful.it was spacious,nice decor,and very well kept.the shuttle service was also great. this room would be great if you were staying a week or more,it didnt feel cramped like some rooms i have stayed in."
920 N Rampart St,"Hotel,Hotels",New Orleans,US,Best Western Plus French Quarter Landmark Hotel,4,Over all very nice place. I would stay here again
1114 Blair St,Hotels & Motels,Silverton,US,Bent Elbow,4,"We really enjoyed ourselves at this nice, classic hotel. Our room, the Bordello Room, is in the front of the building, overlooking the street and has a great view. Room rates are reasonable our room was very clean and comfortably spacious. The mattress was new and firm. A very good value."
1808 S Australian Ave,Hotels,West Palm Beach,US,Doubletree By Hilton West Palm Beach Airport,4,"I usually enjoy my stay at Doubletree, whether it's business or pleasure. This was no exception. I had some minor issues with this location but nothing that would deter me from continuing to support this brand. (Cookies make everything better!) The location is slightly off the beaten path but still close enough to downtown to enjoy the area. My only... More"
16530 Northcross Dr,Hotels,Huntersville,US,Candlewood Suites Huntersville,5,EXCELLENT value!
835 S Chestatee St,"Wedding Sites,Hotels,Hotels & Motels,Meeting Facilities",Dahlonega,US,Holiday Inn Express Dahlonega,3,"Had a great time in Dahlonega, the hotel staff was friendly and did a nice job. The breakfast was good, the small eating area made it hard to find a seat on the weekend. Internet was horrible. The hotel is convenient to the shopping area and restaurants."
14585 Duval Rd,"Hotels,Hotel",Jacksonville,US,Jacksonville Plaza Hotel and Suites,2,The bathroom had a horrible smell
101 Travel Center Blvd,"Resorts & Vacation Cottages,Hotels,Hotels & Motels,Accommodations & Lodging,Inns,Vacation Packages",Dublin,US,La Quinta Inn & Suites Dublin,5,This hotel is very nice and clean. The breakfast is the best I have had at a hotel breakfast bar. The room were comfortable. The beds are great. We also enjoyed the pool which is indoors. The staff was friendly and helpful.
5610 Vineland Rd,Hotels,Orlando,US,Extended Stay America - Orlando Theme Parks - Vineland Rd.,1,The front desk was great but the cleaning crew was horrible . When we first checked in the room wasn't ready . It was just after 3PM so we decided to come back at around 8:30PM. When we went to the room the linen was full of hair. We called the front desk and they were very accommodating and gave us a new set but at this point we were very disappointed . The hotel is also only 3 floors and it took what felt like forever for the elevator to come. Over 10 minute waiting time on average . They don't have any other elevators and were transporting the garbage on the same elevators as the guests which stunk the elevator up like a garbage disposal. When we needed to get any dinnerware we had to ask at the front desk because the room had none and we had to wait for it to be washed because apparently they don't have any clean ones readily available. We will not be staying at this extended stay hotel ever ! It's sad because the front desk staff was extremely nice as well.
1 Wenonah Park Pl,"Conventions Conferences & Trade Shows,Wedding Receptions & Parties,Convention & Meeting Facilities & Services,Hotels",Bay City,US,Doubletree By Hilton Hotel Bay City - Riverfront,5,The staff and amenities at this hotel are wonderful for business travel. Clean rooms and good food at the hotel restaurant. Only complaint is the complimentary internet service and the need to log in multiple times.
3917 Ridgemont Dr,Hotels,Abilene,US,Hampton Inn Abilene,1,"Checked in to the hotel, room was fine, however, when we left the first morning, we hung the do not disturb sign on the door. Came back at about noon and found a carpet cleaning company about to clean the carpet. I told them no. As well as the staff person who accomplish them. Returning 4 hours later, found the... More"
1 Wenonah Park Pl,"Conventions Conferences & Trade Shows,Wedding Receptions & Parties,Convention & Meeting Facilities & Services,Hotels",Bay City,US,Doubletree By Hilton Hotel Bay City - Riverfront,5,"In the view of this review, you'll see the balconies on the side. That's where I stayed, a corner suite. The view was spectacular and the room was very nice too. The balcony did not face the water but you still had a good view of it from the balcony. Windows were on three sides of the room water, parking... More"
1776 Mansfield Rd,"Travel,Bed & Breakfasts,Hotels & Motels,Lodging,B&bs / Inns",Georgetown,US,Mansfield Plantation Inc,5,This BB is refreshing as you are not piled into a house full of other guests. The units are in 3 surrounding buildings. The main house is incredibly old but looks pristine. It is a 1 story mirror image home surrounded 3/4 the way around by water in a stunning setting. Breakfast is served in the main house with sterling... More
